RelTime,RSPT,RSPA,PULS,PR,SPO2
0000.000,-796.676923076923,-117.06923076923077,100.5,68.0,97.0
0000.011,-803.675,-122.90833333333333,99.8125,68.0,97.0
0000.034,-812.9,-127.8,98.375,68.0,97.0
0000.069,-823.0000000000001,-130.62857142857143,96.23529411764706,68.0,97.0
0000.097,-829.475,-130.925,95.0,68.0,97.0
0000.131,-836.7666666666667,-130.40769230769232,94.0,68.0,97.0
0000.164,-842.4846153846154,-131.1846153846154,94.0,68.0,97.0
0000.198,-852.8874999999999,-135.0125,94.0,68.0,97.0
0000.232,-859.3,-139.0,93.0,68.0,97.0
0000.269,-847.4333333333334,-140.93333333333334,93.0,68.0,97.0
0000.296,-830.8875,-142.57777777777778,92.0,68.0,97.0
0000.330,-805.1333333333334,-142.5,92.0,68.0,97.0
0000.364,-788.2499999999999,-141.75,91.0,68.0,97.0
0000.400,-783.4,-140.1,90.5625,68.0,97.0
0000.436,-763.7,-136.725,90.6875,68.0,97.0
0000.464,-746.8249999999999,-132.33333333333331,93.875,68.0,97.0
0000.497,-722.3000000000001,-126.66666666666667,100.0,68.0,97.0
0000.531,-699.5,-120.2,109.875,67.92261904761905,97.0
0000.566,-679.45,-111.94999999999999,112.8125,67.81845238095238,97.0
0000.601,-666.4076923076923,-106.01538461538462,113.0,67.71428571428571,97.0
0000.636,-653.6,-103.775,111.8125,67.61011904761905,97.0
0000.662,-646.0,-100.6,110.1875,67.5327380952381,97.0
0000.702,-621.8916666666667,-91.575,107.6875,67.41369047619048,97.0
0000.737,-594.6769230769231,-77.3875,105.5,67.30952380952381,97.0
0000.770,-564.2,-63.5,102.4375,67.21130952380952,97.0
0000.800,-540.35,-55.625,101.5625,67.12202380952381,97.0
0000.834,-524.25,-48.85,101.0,67.02083333333333,97.0
0000.869,-508.5444444444444,-32.75,99.25,67.0,97.0
0000.903,-494.1,-15.784615384615385,99.0,67.0,97.0
0000.937,-462.5833333333333,-1.4750000000000005,97.0,67.0,96.99999999999999
0000.965,-440.5666666666667,1.4666666666666668,96.0,67.0,97.0
0001.000,-408.8,11.95,95.0,67.0,97.0
0001.032,-379.1692307692308,38.34615384615385,93.0,67.0,97.0
0001.066,-345.4583333333333,71.68333333333334,92.0,67.0,97.0
0001.100,-333.8666666666667,98.6,91.0,67.0,97.0
0001.133,-326.83333333333337,108.6,91.0,67.0,97.0
0001.167,-330.96923076923076,108.875,90.0,67.01785714285714,97.0
0001.202,-322.5,106.5,90.0,67.12202380952381,97.0
0001.240,-316.0666666666666,105.70000000000002,90.0,67.23511904761904,97.0
0001.267,-314.46250000000003,110.18750000000001,89.375,67.31547619047619,97.0
0001.296,-303.83333333333337,117.125,89.0,67.40178571428571,97.0
0001.337,-284.03846153846155,128.5076923076923,92.0,67.52380952380952,97.0
0001.365,-272.0375,136.4923076923077,97.25,67.60714285714286,97.0
0001.399,-269.56666666666666,140.36666666666667,104.5,67.70833333333334,97.0
0001.432,-273.17692307692306,140.76666666666668,111.875,67.80654761904762,97.0
0001.466,-273.8153846153846,140.7,113.0,67.90773809523809,97.0
0001.500,-259.6333333333333,138.29166666666669,112.0,68.0,97.0
0001.533,-245.62500000000003,137.75,111.0,68.0,97.0
0001.567,-239.4,133.8,109.625,68.0,97.0
