RelTime,RSPT
0000.000,518.5
0000.026,530.2692307692307
0000.052,586.1375
0000.077,605.75
0000.108,675.123076923077
0000.141,649.3384615384616
0000.174,590.85
0000.207,562.1
0000.239,535.4250000000001
0000.279,526.1461538461539
0000.313,497.54615384615386
0000.345,462.45000000000005
0000.377,427.3666666666667
0000.411,362.68461538461537
0000.446,305.1
0000.478,276.21666666666664
0000.511,254.75833333333333
0000.543,213.1846153846154
0000.576,236.61666666666667
0000.608,195.32500000000002
0000.640,106.5875
0000.672,-34.455555555555556
0000.704,-128.57777777777778
0000.745,-227.12307692307692
0000.776,-257.45
0000.809,-298.16666666666663
0000.842,-391.17692307692306
0000.875,-538.25
0000.908,-760.1583333333333
0000.941,-889.2416666666667
0000.973,-976.7166666666666
0001.006,-1019.0384615384614
0001.038,-1049.95
0001.072,-1148.6714285714286
0001.105,-1206.1333333333334
0001.138,-1242.075
0001.171,-1251.9923076923078
0001.205,-1284.75
0001.238,-1318.25
0001.278,-1361.5
0001.310,-1363.475
0001.342,-1365.4833333333333
0001.375,-1365.7153846153844
0001.408,-1362.35
0001.440,-1359.9833333333333
0001.475,-1365.7
0001.507,-1377.4153846153847
0001.539,-1401.5153846153844
0001.571,-1423.0833333333335
0001.606,-1417.4333333333334
0001.639,-1383.8
0001.671,-1351.2
0001.705,-1310.5249999999999
0001.740,-1255.75
0001.774,-1189.5666666666668
0001.807,-1107.0153846153848
0001.839,-1001.6666666666667
0001.871,-888.8499999999999
0001.906,-732.0153846153846
0001.940,-578.2083333333333
0001.972,-402.45
0002.006,-121.99166666666667
0002.040,204.14545454545456
0002.073,559.75
0002.108,806.675
0002.143,931.0416666666666
0002.177,942.85
0002.210,937.276923076923
0002.243,955.5416666666667
0002.275,965.4666666666666
0002.307,980.6750000000001
0002.339,973.4692307692308
0002.371,987.3333333333333
0002.413,997.5692307692309
0002.448,984.6083333333333
0002.473,920.5444444444445
0002.505,845.4375
0002.538,770.1624999999999
0002.575,716.3249999999999
0002.607,663.8
0002.642,598.2
0002.675,629.0
0002.707,690.4
0002.741,753.1583333333334
0002.774,714.5666666666666
0002.813,699.8846153846154
0002.843,702.7666666666667
0002.878,673.2333333333333
0002.904,620.9
0002.939,543.8
0002.972,469.9846153846153
0003.012,409.65
0003.045,381.925
0003.077,361.9625
0003.109,357.7461538461539
0003.142,345.4833333333333
0003.176,331.0230769230769
0003.210,312.8416666666667
0003.242,293.9
0003.276,287.87692307692305
0003.310,290.675
0003.344,325.30000000000007
0003.377,407.74615384615385
0003.411,462.09230769230766
0003.446,550.6538461538462
0003.470,596.4916666666667
0003.503,623.85
0003.537,593.8000000000001
0003.570,534.7125
0003.605,475.325
0003.637,454.9666666666667
0003.671,428.2416666666667
0003.705,403.38461538461536
0003.739,395.93333333333334
0003.773,368.67499999999995
0003.806,334.625
0003.838,283.9769230769231
0003.871,232.225
0003.904,164.0846153846154
0003.937,143.2375
0003.970,118.8
0004.013,90.8375
0004.038,77.10000000000001
0004.071,68.9
0004.104,116.9
0004.137,166.89999999999998
0004.170,189.2
0004.204,143.86666666666667
0004.245,74.2
0004.279,-19.15
0004.311,-136.5076923076923
0004.344,-273.0
0004.378,-478.29999999999995
0004.411,-689.4
0004.446,-871.7750000000001
0004.471,-980.7833333333333
0004.504,-1061.3083333333334
0004.538,-1084.0
0004.570,-1164.523076923077
0004.612,-1222.3384615384616
0004.644,-1259.1571428571428
0004.677,-1260.1384615384616
0004.709,-1244.5333333333333
0004.742,-1251.8153846153846
0004.777,-1274.853846153846
0004.814,-1315.776923076923
0004.840,-1329.5833333333335
0004.875,-1324.2375
0004.913,-1291.75
0004.937,-1279.1666666666665
0004.979,-1224.425
0005.012,-1186.9
0005.045,-1122.7076923076922
0005.080,-1046.7
0005.105,-980.3
0005.138,-871.3499999999999
0005.170,-748.8333333333333
0005.205,-627.4153846153846
0005.240,-468.2769230769231
