Q01	この人は他の人から信頼されていそうだ
Q02	この人に共感することが多い
Q03	この人は私と同じような行動を取る人だ
Q04	この人は信頼できる 
Q05	この人のファッションが気に入っている 
Q06	この人は私と考えや意見が似ている 
Q07	この人は正直そうだ
Q08	この人と気が合いそうだ
Q09	この人を身近に感じた
Q10	この人には好感がもてた
Q11	この人は温かい人だと思う
Q12	この人は有能な人だと思う
Q13	この人は善意の人だと思う
Q14	この人は知的な人だと思う
Q15	この人とは話していて楽しい
Q16	この人とは話しがしやすい
Q17	この人との話しはリズムがよい
Q18	この人とは息が合う
Q19	この人とはリラックスして話せる
Q20	活発で，外向的だと思う 
Q21	他人に不満をもち，もめごとを起こしやすいと思う
Q22	しっかりしていて，自分に厳しいと思う
Q23	心配性で，うろたえやすいと思う
Q24	新しいことが好きで，変わった考えをもつと思う
Q25	ひかえめで，おとなしいと思う
Q26	人に気をつかう，やさしい人間だと思う
Q27	だらしなく，うっかりしていると思う
Q28	冷静で，気分が安定していると思う
Q29	発想力に欠けた，平凡な人間だと思う
Q30	活発で，外向的だと思う 
Q31	他人に不満をもち，もめごとを起こしやすいと思う
Q32	しっかりしていて，自分に厳しいと思う
Q33	心配性で，うろたえやすいと思う
Q34	新しいことが好きで，変わった考えをもつと思う
Q35	ひかえめで，おとなしいと思う
Q36	人に気をつかう，やさしい人間だと思う
Q37	だらしなく，うっかりしていると思う
Q38	冷静で，気分が安定していると思う
Q39	発想力に欠けた，平凡な人間だと思う
Q40	ビデオ映像があるほうが会話しやすい
Q41	ビデオ映像があるほうが相手の意図がわかりやすい
Q42	ビデオ映像があるほうが相手の感情がわかりやすい
Q43	ビデオ映像があるほうが相手と実際に会って会話している感じがする
Q44	ビデオ映像があるほうが相手に言いたいことを伝えやすい
Q45	ビデオ映像があるほうが会話が盛り上がる
Q46	普段オンライン会議等に参加するときに，（ビデオオフを指示されない限り）ビデオオンで参加しますか？
Q47	ビデオ映像の大きさ（相手の見え具合）はどうでしたか？
Q48	呼吸計測用ベルトが気になって，映像や会話に集中できなかった
Q49	マスクのために会話がしづらかった
Q50	マスクをしての会話は苦手だ
Q51	マスクをしていると，マスクをしていないときに比べて，うまく会話できない
