PID	Q01	Q02	Q03	Q04	Q05	Q06	Q07	Q08	Q09	Q10	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q18	Q19	Q20	Q21	Q22	Q23	Q24	Q25	
011	K3	4	4	4	7	1	4	7	7	7	7	6	6	6	6	4	6	1	7	5	5	7	7	1	1
021	K3	6	6	6	6	6	7	4	7	6	6	5	7	5	7	5	1	2	2	4	3	5	5	5	2
031	K3	7	6	5	7	4	5	6	7	7	7	7	6	7	6	4	5	2	5	4	3	4	5	3	5
041	K3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	2	5	2	3	1	5	4	3	5
051	K2	7	6	6	7	6	6	6	6	7	6	6	7	6	7	5	2	2	4	3	1	5	7	2	3
061	K1	6	4	5	6	3	4	7	5	5	5	6	6	5	5	5	1	5	3	5	3	5	3	4	3
071	K4	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	6	1	7	1	1	4	4	3	7
081	U0	4	3	3	5	4	3	5	4	3	4	5	4	5	4	4	2	4	4	4	3	5	3	4	3
091	K4	7	5	4	7	3	4	7	7	5	5	6	7	6	7	6	1	5	2	5	3	6	2	6	4
101	U0	3	3	3	3	5	4	5	4	3	4	4	4	3	3	6	1	3	1	5	5	5	3	6	2
111	K4	7	7	6	7	7	7	7	7	7	7	7	6	7	6	5	4	3	2	6	2	7	5	5	4
121	U0	5	4	3	6	4	4	6	4	5	5	5	4	6	4	5	1	3	2	5	3	6	4	6	2
131	K1	6	4	3	6	3	3	6	4	3	5	4	5	5	3	5	2	3	2	6	3	5	6	4	2
141	U0	5	3	2	5	2	3	6	2	3	4	4	5	5	5	6	2	6	5	5	2	5	3	3	3
151	K1	6	3	2	6	5	6	6	7	5	7	6	5	6	5	2	4	2	4	6	4	5	3	4	2
161	K3	5	3	6	6	4	6	7	6	6	6	3	6	5	7	2	4	1	1	2	2	1	7	6	2
171	U0	4	4	3	4	2	2	4	4	3	4	3	3	5	4	3	2	3	3	5	3	5	6	3	1
181	K4	7	7	7	7	7	6	7	7	7	7	7	7	7	6	3	1	4	5	5	3	7	3	4	3
191	U0	3	1	1	1	5	2	5	5	3	4	4	3	1	3	6	3	5	6	3	4	5	5	3	4
201	U0	3	2	1	4	2	3	4	1	4	2	2	5	4	4	1	4	1	7	2	5	1	7	2	7
211	U0	4	3	3	3	4	4	4	4	3	4	5	4	4	5	3	3	5	3	3	5	5	3	5	3
221	U0	5	4	4	4	5	4	7	5	5	5	4	5	5	7	5	3	4	7	5	5	4	7	5	7
231	U0	4	4	5	4	1	4	5	4	4	4	5	4	5	4	6	2	2	7	6	5	4	7	2	7
241	U0	6	5	5	5	5	5	6	4	5	5	5	4	6	4	4	4	2	5	7	5	4	6	3	2
251	U0	3	1	3	3	2	1	2	2	1	3	2	3	2	3	2	3	4	6	5	5	5	7	4	4
261	U0	5	4	4	4	5	4	5	5	5	5	5	5	5	5	5	4	3	4	5	3	3	5	4	4
271	K3	6	5	1	6	3	4	4	5	5	3	5	5	5	3	1	1	5	6	1	7	6	4	4	7
281	U0	4	4	2	4	2	2	4	3	3	3	4	5	4	5	4	3	5	2	4	5	3	2	5	4
291	U0	4	4	1	4	5	4	4	4	1	5	4	4	4	6	6	2	4	2	7	2	6	4	5	2
301	U0	1	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	6	3	5	6	6	2	6	2
311	U0	4	1	4	4	1	1	6	2	1	4	4	4	4	4	7	1	5	4	5	1	5	1	4	1
321	U0	4	4	4	5	4	4	4	3	4	4	4	4	4	4	5	5	2	5	7	1	6	7	3	2
331	K4	7	6	5	7	5	6	7	7	7	7	7	7	7	7	5	5	7	2	6	2	6	2	5	1
341	K3	6	6	3	7	6	4	5	6	6	7	7	7	6	6	3	3	6	6	4	5	3	6	3	3
351	K2	7	7	5	7	7	6	7	6	6	7	7	6	7	2	7	1	2	6	2	2	7	4	5	6
361	K4	6	6	6	7	4	6	7	7	7	7	7	7	7	7	6	2	6	5	6	4	7	2	4	1
