ID	Sex	Age	Known/Unknown	Order	Video Size	Face Use in Publication	
011	M	20	K	A	L	OK	
012	M	20	K	A	L	OK	
021	M	20	K	B	L	OK	
022	M	20	K	B	L	OK	
031	F	20	K	B	L	OK	
032	F	20	K	B	L	OK	
041	F	30	K	B	S	OK	
042	F	40	K	B	S	OK	
051	F	40	K	B	S	NA	
052	F	40	K	B	S	OK	
061	F	60	K	B	S	OK	
062	F	60	K	B	S	OK	
071	M	40	K	B	L	OK	
072	F	40	K	B	L	OK	
081	M	60	U	B	L	OK	
082	M	60	U	B	L	OK	
091	F	50	K	A	L	NA	
092	M	60	K	A	L	OK	
101	F	20	U	A	L	OK	
102	F	20	U	A	L	OK	
111	F	50	K	A	S	OK	
112	F	40	K	A	S	OK	
121	F	50	U	A	S	OK	
122	F	50	U	A	S	OK	
131	M	50	K	B	S	OK	
132	M	30	K	B	S	OK	
141	F	20	U	B	S	OK	
142	F	30	U	B	S	OK	
151	M	30	K	B	S	OK	
152	F	40	K	B	S	OK	
161	F	30	K	B	S	OK	
162	M	30	K	B	S	OK	
171	M	40	U	A	L	OK	
172	M	40	U	A	L	OK	
181	M	30	K	A	L	OK	
182	F	40	K	A	L	NA	
191	F	30	U	B	S	NA	
192	M	30	U	B	S	OK	
201	M	40	U	B	S	NA	
202	F	50	U	B	S	OK	
211	F	20	U	A	S	OK	
212	M	20	U	A	S	OK	
221	F	40	U	A	S	OK	
222	F	40	U	A	S	OK	
231	M	40	U	A	L	OK	
232	M	40	U	A	L	OK	
241	M	30	U	A	L	OK	
242	F	30	U	A	L	OK	
251	M	20	U	B	L	OK	
252	F	20	U	B	L	OK	
261	F	50	U	B	L	NA	
262	F	50	U	B	L	OK	
271	F	30	K	A	S	OK	
272	M	30	K	A	S	OK	
281	M	40	U	A	S	OK	
282	F	30	U	A	S	OK	
291	M	50	U	A	S	OK	
292	M	50	U	A	S	OK	
301	M	20	U	A	S	OK	
302	F	30	U	A	S	OK	
311	F	30	U	A	L	NA	
312	M	30	U	A	L	NA	
321	F	30	U	A	L	OK	
322	M	30	U	A	L	OK	
331	M	50	K	B	L	OK	
332	F	50	K	B	L	OK	
341	M	20	K	B	L	NA	
342	F	20	K	B	L	OK	
351	F	40	K	B	L	OK	
352	F	40	K	B	L	NA	
361	F	50	K	A	S	OK	
362	M	20	K	A	S	OK	
